Time,nz-c3.S,nz-c3.E,nz-c3.P,nz-c3.Iu,nz-c3.Ic,nz-c3.Ru,nz-c3.Rc,nz-c3.D,nz-c3.cases,nz-c3.Level
0.000000,4820875.800000,904.800000,226.200000,187.200000,39.000000,0.000000,0.000000,0.000000,39.000000,0.000000
0.100000,4820869.344754,889.057648,226.010068,205.699044,40.550683,1.924801,0.389624,0.023378,40.944243,0.000000
0.200000,4820862.202836,874.159290,225.473251,223.980470,42.284564,4.051155,0.799436,0.048996,43.092076,0.000000
0.300000,4820854.573822,860.109922,224.643162,241.831871,44.181000,6.356405,1.227215,0.076602,45.420612,0.000000
0.400000,4820846.465598,846.880787,223.567585,259.235118,46.234000,8.836201,1.674541,0.106169,47.925456,0.000000
0.500000,4820837.886420,834.443478,222.289074,276.176912,48.437478,11.486037,2.142935,0.137666,50.602058,0.000000
0.600000,4820828.844819,822.770013,220.845461,292.648197,50.785296,14.301297,2.633855,0.171062,53.445755,0.000000
0.700000,4820819.349524,811.832910,219.270316,308.643626,53.271307,17.277294,3.148700,0.206323,56.451812,0.000000
0.800000,4820809.409388,801.605240,217.593365,324.161090,55.889388,20.409303,3.688810,0.243415,59.615458,0.000000
0.900000,4820799.033331,792.060677,215.840870,339.201293,58.633470,23.692596,4.255460,0.282304,62.931915,0.000000
1.000000,4820788.230278,783.173535,214.035973,353.767369,61.497564,27.122459,4.849871,0.322953,66.396423,0.000000
1.100000,4820777.009120,774.918798,212.199010,367.864541,64.475781,30.694223,5.473200,0.365328,70.004266,0.000000
1.200000,4820765.378669,767.272148,210.347794,381.499814,67.562354,34.403279,6.126549,0.409392,73.750787,0.000000
1.300000,4820753.347626,760.209976,208.497872,394.681708,70.751649,38.245095,6.810963,0.455112,77.631410,0.000000
1.400000,4820740.924547,753.709396,206.662756,407.420008,74.038180,42.215230,7.527432,0.502451,81.641646,0.000000
1.500000,4820728.117822,747.748256,204.854137,419.725555,77.416618,46.309344,8.276892,0.551376,85.777115,0.000000
1.600000,4820714.935653,742.305135,203.082073,431.610050,80.881799,50.523209,9.060228,0.601853,90.033544,0.000000
1.700000,4820701.386035,737.359344,201.355166,443.085885,84.428731,54.852718,9.878274,0.653848,94.406785,0.000000
1.800000,4820687.476742,732.890924,199.680712,454.165992,88.052597,59.293887,10.731816,0.707330,98.892815,0.000000
1.900000,4820673.215315,728.880640,198.064848,464.863714,91.748760,63.842864,11.621592,0.762267,103.487742,0.000000
2.000000,4820658.609058,725.309965,196.512677,475.192683,95.512762,68.495931,12.548296,0.818629,108.187809,0.000000
2.100000,4820643.665022,722.161080,195.028384,485.166720,99.340328,73.249503,13.512579,0.876385,112.989397,0.000000
2.200000,4820628.390009,719.416851,193.615338,494.799749,103.227361,78.100136,14.515049,0.935507,117.889026,0.000000
2.300000,4820612.790565,717.060822,192.276191,504.105713,107.169945,83.044521,15.556276,0.995968,122.883355,0.000000
2.400000,4820596.872977,715.077197,191.012955,513.098509,111.164341,88.079490,16.636792,1.057740,127.969181,0.000000
2.500000,4820580.643275,713.450824,189.827084,521.791932,115.206987,93.202008,17.757091,1.120799,133.143443,0.000000
2.600000,4820564.107234,712.167178,188.719541,530.199622,119.294490,98.409180,18.917636,1.185119,138.403213,0.000000
2.700000,4820547.270373,711.212347,187.690857,538.335022,123.423627,103.698243,20.118853,1.250678,143.745700,0.000000
2.800000,4820530.137957,710.573009,186.741191,546.211344,127.591340,109.066566,21.361140,1.317452,149.168249,0.000000
2.900000,4820512.715006,710.236418,185.870375,553.841537,131.794731,114.511648,22.644865,1.385419,154.668331,0.000000
3.000000,4820495.006292,710.190385,185.077961,561.238262,136.031058,120.031114,23.970367,1.454560,160.243550,0.000000
3.100000,4820477.016348,710.423256,184.363259,568.413874,140.297733,125.622715,25.337959,1.524855,165.891631,0.000000
3.200000,4820458.749472,710.923902,183.725374,575.380405,144.592312,131.284319,26.747930,1.596285,171.610423,0.000000
3.300000,4820440.209730,711.681693,183.163239,582.149548,148.912496,137.013915,28.200545,1.668833,177.397894,0.000000
3.400000,4820421.400966,712.686485,182.675640,588.732656,153.256121,142.809605,29.696046,1.742481,183.252127,0.000000
3.500000,4820402.326803,713.928599,182.261241,595.140727,157.621157,148.669601,31.234656,1.817215,189.171315,0.000000
3.600000,4820382.990652,715.398807,181.918612,601.384407,162.005704,154.592223,32.816576,1.893018,195.153761,0.000000
3.700000,4820363.395717,717.088313,181.646242,607.473983,166.407981,160.575894,34.441992,1.969878,201.197872,0.000000
3.800000,4820343.545001,718.988734,181.442560,613.419388,170.826329,166.619136,36.111071,2.047780,207.302158,0.000000
3.900000,4820323.441311,721.092092,181.305951,619.230199,175.259200,172.720571,37.823963,2.126712,213.465224,0.000000
4.000000,4820303.087267,723.390786,181.234767,624.915641,179.705157,178.878912,39.580806,2.206664,219.685769,0.000000
4.100000,4820282.485305,725.877588,181.227342,630.484593,184.162865,185.092960,41.381723,2.287623,225.962585,0.000000
4.200000,4820261.637687,728.545621,181.281998,635.945594,188.631091,191.361604,43.226824,2.369580,232.294550,0.000000
4.300000,4820240.546499,731.388347,181.397061,641.306845,193.108697,197.683818,45.116207,2.452526,238.680624,0.000000
4.400000,4820219.213668,734.399550,181.570862,646.576222,197.594637,204.058651,47.049960,2.536451,245.119849,0.000000
4.500000,4820197.640959,737.573328,181.801747,651.761277,202.087950,210.485231,49.028161,2.621347,251.611344,0.000000
4.600000,4820175.829982,740.904075,182.088084,656.869253,206.587760,216.962760,51.050878,2.707208,258.154303,0.000000
4.700000,4820153.782203,744.386468,182.428265,661.907087,211.093270,223.490509,53.118171,2.794027,264.747988,0.000000
4.800000,4820131.498942,748.015459,182.820711,666.881423,215.603758,230.067815,55.230095,2.881797,271.391732,0.000000
4.900000,4820108.981383,751.786258,183.263879,671.798616,220.118575,236.694083,57.386693,2.970513,278.084932,0.000000
5.000000,4820086.230579,755.694325,183.756260,676.664745,224.637139,243.368775,59.588008,3.060170,284.827045,0.000000
5.100000,4820063.247452,759.735359,184.296383,681.485623,229.158933,250.091416,61.834072,3.150763,291.617592,0.000000
5.200000,4820040.032804,763.905284,184.882818,686.266802,233.683503,256.861584,64.124916,3.242288,298.456145,0.000000
5.300000,4820016.587320,768.200242,185.514179,691.013586,238.210453,263.678913,66.460565,3.334742,305.342337,0.000000
5.400000,4819992.911570,772.616584,186.189118,695.731036,242.739441,270.543088,68.841041,3.428123,312.275846,0.000000
5.500000,4819969.006014,777.150855,186.906335,700.423985,247.270180,277.453841,71.266363,3.522426,319.256405,0.000000
5.600000,4819944.871009,781.799794,187.664572,705.097042,251.802431,284.410953,73.736547,3.617652,326.283791,0.000000
5.700000,4819920.506810,786.560316,188.462615,709.754603,256.336003,291.414250,76.251607,3.713797,333.357828,0.000000
5.800000,4819895.913575,791.429510,189.299296,714.400858,260.870749,298.463597,78.811555,3.810860,340.478381,0.000000
5.900000,4819871.091369,796.404630,190.173489,719.039800,265.406566,305.558903,81.416402,3.908841,347.645356,0.000000
6.000000,4819846.040165,801.483084,191.084112,723.675236,269.943389,312.700114,84.066159,4.007740,354.858701,0.000000
6.100000,4819820.759854,806.662432,192.030128,728.310791,274.481190,319.887214,86.760835,4.107556,362.118398,0.000000
6.200000,4819795.250239,811.940375,193.010539,732.949917,279.019980,327.120221,89.500441,4.208290,369.424465,0.000000
6.300000,4819769.511046,817.314749,194.024393,737.595902,283.559798,334.399185,92.284985,4.309941,376.776955,0.000000
6.400000,4819743.541924,822.783520,195.070775,742.251877,288.100720,341.724192,95.114479,4.412512,384.175951,0.000000
6.500000,4819717.342447,828.344779,196.148813,746.920821,292.642849,349.095354,97.988934,4.516003,391.621569,0.000000
6.600000,4819690.912118,833.996733,197.257672,751.605571,297.186315,356.512813,100.908362,4.620416,399.113953,0.000000
6.700000,4819664.250372,839.737701,198.396556,756.308825,301.731275,363.976740,103.872778,4.725753,406.653273,0.000000
6.800000,4819637.356576,845.566108,199.564706,761.033153,306.277913,371.487331,106.882197,4.832015,414.239728,0.000000
6.900000,4819610.230035,851.480483,200.761400,765.781000,310.826434,379.044806,109.936636,4.939206,421.873541,0.000000
7.000000,4819582.869993,857.479451,201.985948,770.554691,315.377063,386.649409,113.036117,5.047329,429.554958,0.000000
7.100000,4819555.275633,863.561728,203.237698,775.356441,319.930048,394.301407,116.180659,5.156385,437.284250,0.000000
7.200000,4819527.446083,869.726121,204.516028,780.188356,324.485656,402.001089,119.370289,5.266378,445.061706,0.000000
7.300000,4819499.380414,875.971518,205.820347,785.052442,329.044171,409.748763,122.605034,5.377311,452.887639,0.000000
7.400000,4819471.077645,882.296888,207.150098,789.950608,333.605892,417.544757,125.884923,5.489189,460.762380,0.000000
7.500000,4819442.536743,888.701277,208.504751,794.884669,338.171138,425.389417,129.209990,5.602014,468.686279,0.000000
7.600000,4819413.756626,895.183803,209.883806,799.856357,342.740237,433.283107,132.580272,5.715792,476.659704,0.000000
7.700000,4819384.736163,901.743653,211.286788,804.867319,347.313535,441.226208,135.995808,5.830525,484.683038,0.000000
7.800000,4819355.474178,908.380080,212.713251,809.919124,351.891388,449.219117,139.456642,5.946220,492.756683,0.000000
7.900000,4819325.969448,915.092401,214.162775,815.013267,356.474165,457.262244,142.962821,6.062879,500.881055,0.000000
8.000000,4819296.220708,921.879990,215.634962,820.151174,361.062245,465.356017,146.514394,6.180509,509.056583,0.000000
8.100000,4819266.226650,928.742282,217.129439,825.334204,365.656018,473.500875,150.111417,6.299114,517.283713,0.000000
8.200000,4819235.985927,935.678764,218.645856,830.563652,370.255883,481.697272,153.753948,6.418699,525.562901,0.000000
8.300000,4819205.497148,942.688975,220.183884,835.840755,374.862246,489.945673,157.442050,6.539270,533.894619,0.000000
8.400000,4819174.758888,949.772504,221.743215,841.166694,379.475523,498.246555,161.175787,6.660832,542.279349,0.000000
8.500000,4819143.769682,956.928988,223.323563,846.542598,384.096138,506.600409,164.955232,6.783390,550.717585,0.000000
8.600000,4819112.528028,964.158108,224.924658,851.969544,388.724519,515.007733,168.780459,6.906951,559.209831,0.000000
8.700000,4819081.032389,971.459588,226.546252,857.448563,393.361103,523.469038,172.651546,7.031521,567.756604,0.000000
8.800000,4819049.281195,978.833194,228.188110,862.980643,398.006330,531.984844,176.568578,7.157105,576.358428,0.000000
8.900000,4819017.272841,986.278730,229.850020,868.566728,402.660648,540.555682,180.531641,7.283710,585.015841,0.000000
9.000000,4818985.005687,993.796039,231.531781,874.207724,407.324507,549.182091,184.540829,7.411343,593.729385,0.000000
9.100000,4818952.478064,1001.384996,233.233210,879.904501,411.998365,557.864618,188.596237,7.540009,602.499614,0.000000
9.200000,4818919.688269,1009.045516,234.954140,885.657893,416.682679,566.603820,192.697968,7.669715,611.327091,0.000000
9.300000,4818886.634571,1016.777542,236.694416,891.468701,421.377915,575.400261,196.846126,7.800469,620.212385,0.000000
9.400000,4818853.315206,1024.581049,238.453897,897.337698,426.084537,584.254514,201.040822,7.932276,629.156075,0.000000
9.500000,4818819.728381,1032.456043,240.232458,903.265626,430.803016,593.167158,205.282172,8.065145,638.158746,0.000000
9.600000,4818785.872275,1040.402559,242.029982,909.253203,435.533824,602.138781,209.570295,8.199082,647.220991,0.000000
9.700000,4818751.745039,1048.420656,243.846368,915.301118,440.277434,611.169975,213.905315,8.334094,656.343409,0.000000
9.800000,4818717.344794,1056.510423,245.681525,921.410040,445.034324,620.261342,218.287362,8.470189,665.526608,0.000000
9.900000,4818682.669636,1064.671972,247.535373,927.580617,449.804971,629.413490,222.716569,8.607374,674.771202,0.000000
10.000000,4818647.717630,1072.905439,249.407842,933.813473,454.589854,638.627030,227.193074,8.745658,684.077808,0.000000
10.100000,4818612.486819,1081.210983,251.298873,940.109217,459.389456,647.902584,231.717022,8.885047,693.447054,0.000000
10.200000,4818576.975217,1089.588786,253.208416,946.468438,464.204259,657.240776,236.288560,9.025549,702.879571,0.000000
10.300000,4818541.180813,1098.039050,255.136432,952.891711,469.034744,666.642237,240.907841,9.167173,712.375997,0.000000
10.400000,4818505.101569,1106.561998,257.082889,959.379594,473.881398,676.107606,245.575022,9.309926,721.936975,0.000000
10.500000,4818468.735423,1115.157872,259.047764,965.932633,478.744703,685.637523,250.290267,9.453816,731.563154,0.000000
10.600000,4818432.080288,1123.826933,261.031042,972.551360,483.625147,695.232637,255.053741,9.598852,741.255188,0.000000
10.700000,4818395.134053,1132.569459,263.032717,979.236296,488.523213,704.893600,259.865619,9.745043,751.013737,0.000000
10.800000,4818357.894580,1141.385748,265.052789,985.987953,493.439389,714.621070,264.726075,9.892395,760.839465,0.000000
10.900000,4818320.359709,1150.276112,267.091266,992.806829,498.374161,724.415711,269.635292,10.040919,770.733042,0.000000
11.000000,4818282.527254,1159.240881,269.148163,999.693418,503.328014,734.278191,274.593457,10.190623,780.695142,0.000000
11.100000,4818244.395007,1168.280398,271.223501,1006.648203,508.301435,744.209181,279.600760,10.341515,790.726445,0.000000
11.200000,4818205.960735,1177.395023,273.317309,1013.671661,513.294911,754.209360,284.657398,10.493604,800.827636,0.000000
11.300000,4818167.222182,1186.585130,275.429618,1020.764263,518.308927,764.279409,289.763572,10.646899,810.999403,0.000000
11.400000,4818128.177069,1195.851108,277.560470,1027.926472,523.343969,774.420016,294.919487,10.801409,821.242441,0.000000
11.500000,4818088.823091,1205.193356,279.709910,1035.158750,528.400524,784.631872,300.125354,10.957144,831.557447,0.000000
11.600000,4818049.157924,1214.612291,281.877987,1042.461550,533.479075,794.915673,305.381388,11.114112,841.945124,0.000000
11.700000,4818009.179216,1224.108338,284.064759,1049.835325,538.580110,805.272119,310.687810,11.272323,852.406180,0.000000
11.800000,4817968.884597,1233.681938,286.270286,1057.280524,543.704112,815.701914,316.044844,11.431785,862.941328,0.000000
11.900000,4817928.271670,1243.333541,288.494633,1064.797591,548.851565,826.205769,321.452720,11.592510,873.551282,0.000000
12.000000,4817887.338017,1253.063610,290.737872,1072.386971,554.022954,836.784398,326.911673,11.754506,884.236765,0.000000
12.100000,4817846.081196,1262.872619,293.000076,1080.049106,559.218762,847.438517,332.421942,11.917782,894.998502,0.000000
12.200000,4817804.498743,1272.761053,295.281324,1087.784437,564.439473,858.168849,337.983771,12.082350,905.837221,0.000000
12.300000,4817762.588171,1282.729407,297.581700,1095.593404,569.685568,868.976122,343.597409,12.248217,916.753659,0.000000
