Time,nz-c1.S,nz-c1.E,nz-c1.P,nz-c1.Iu,nz-c1.Ic,nz-c1.Ru,nz-c1.Rc,nz-c1.D,nz-c1.cases,nz-c1.Level
0.000000,4820875.800000,904.800000,226.200000,187.200000,39.000000,0.000000,0.000000,0.000000,39.000000,0.000000
0.100000,4820869.344754,889.057648,226.010068,205.699044,40.550683,1.924801,0.389624,0.023378,40.944243,0.000000
0.200000,4820862.202836,874.159290,225.473251,223.980470,42.284564,4.051155,0.799436,0.048996,43.092076,0.000000
0.300000,4820854.573822,860.109922,224.643162,241.831871,44.181000,6.356405,1.227215,0.076602,45.420612,0.000000
0.400000,4820846.465598,846.880787,223.567585,259.235118,46.234000,8.836201,1.674541,0.106169,47.925456,0.000000
0.500000,4820837.886420,834.443478,222.289074,276.176912,48.437478,11.486037,2.142935,0.137666,50.602058,0.000000
0.600000,4820828.844819,822.770013,220.845461,292.648197,50.785296,14.301297,2.633855,0.171062,53.445755,0.000000
0.700000,4820819.349524,811.832910,219.270316,308.643626,53.271307,17.277294,3.148700,0.206323,56.451812,0.000000
0.800000,4820809.409388,801.605240,217.593365,324.161090,55.889388,20.409303,3.688810,0.243415,59.615458,0.000000
0.900000,4820799.033331,792.060677,215.840870,339.201293,58.633470,23.692596,4.255460,0.282304,62.931915,0.000000
1.000000,4820788.230278,783.173535,214.035973,353.767369,61.497564,27.122459,4.849871,0.322953,66.396423,0.000000
1.100000,4820777.009120,774.918798,212.199010,367.864541,64.475781,30.694223,5.473200,0.365328,70.004266,0.000000
1.200000,4820765.378669,767.272148,210.347794,381.499814,67.562354,34.403279,6.126549,0.409392,73.750787,0.000000
1.300000,4820753.347626,760.209976,208.497872,394.681708,70.751649,38.245095,6.810963,0.455112,77.631410,0.000000
1.400000,4820740.924547,753.709396,206.662756,407.420008,74.038180,42.215230,7.527432,0.502451,81.641646,0.000000
1.500000,4820728.117822,747.748256,204.854137,419.725555,77.416618,46.309344,8.276892,0.551376,85.777115,0.000000
1.600000,4820714.935653,742.305135,203.082073,431.610050,80.881799,50.523209,9.060228,0.601853,90.033544,0.000000
1.700000,4820701.386035,737.359344,201.355166,443.085885,84.428731,54.852718,9.878274,0.653848,94.406785,0.000000
1.800000,4820687.476742,732.890924,199.680712,454.165992,88.052597,59.293887,10.731816,0.707330,98.892815,0.000000
1.900000,4820673.215315,728.880640,198.064848,464.863714,91.748760,63.842864,11.621592,0.762267,103.487742,0.000000
2.000000,4820658.609058,725.309965,196.512677,475.192683,95.512762,68.495931,12.548296,0.818629,108.187809,0.000000
2.100000,4820643.665022,722.161080,195.028384,485.166720,99.340328,73.249503,13.512579,0.876385,112.989397,0.000000
2.200000,4820628.390009,719.416851,193.615338,494.799749,103.227361,78.100136,14.515049,0.935507,117.889026,0.000000
2.300000,4820612.790565,717.060822,192.276191,504.105713,107.169945,83.044521,15.556276,0.995968,122.883355,0.000000
2.400000,4820596.872977,715.077197,191.012955,513.098509,111.164341,88.079490,16.636792,1.057740,127.969181,0.000000
2.500000,4820580.643275,713.450824,189.827084,521.791932,115.206987,93.202008,17.757091,1.120799,133.143443,0.000000
2.600000,4820564.107234,712.167178,188.719541,530.199622,119.294490,98.409180,18.917636,1.185119,138.403213,0.000000
2.700000,4820547.270373,711.212347,187.690857,538.335022,123.423627,103.698243,20.118853,1.250678,143.745700,0.000000
2.800000,4820530.137957,710.573009,186.741191,546.211344,127.591340,109.066566,21.361140,1.317452,149.168249,0.000000
2.900000,4820512.715006,710.236418,185.870375,553.841537,131.794731,114.511648,22.644865,1.385419,154.668331,0.000000
3.000000,4820495.006292,710.190385,185.077961,561.238262,136.031058,120.031114,23.970367,1.454560,160.243550,0.000000
3.100000,4820477.016348,710.423256,184.363259,568.413874,140.297733,125.622715,25.337959,1.524855,165.891631,0.000000
3.200000,4820458.749472,710.923902,183.725374,575.380405,144.592312,131.284319,26.747930,1.596285,171.610423,0.000000
3.300000,4820440.209730,711.681693,183.163239,582.149548,148.912496,137.013915,28.200545,1.668833,177.397894,0.000000
3.400000,4820421.400966,712.686485,182.675640,588.732656,153.256121,142.809605,29.696046,1.742481,183.252127,0.000000
3.500000,4820402.326803,713.928599,182.261241,595.140727,157.621157,148.669601,31.234656,1.817215,189.171315,0.000000
3.600000,4820382.990652,715.398807,181.918612,601.384407,162.005704,154.592223,32.816576,1.893018,195.153761,0.000000
3.700000,4820363.395717,717.088313,181.646242,607.473983,166.407981,160.575894,34.441992,1.969878,201.197872,0.000000
3.800000,4820343.545001,718.988734,181.442560,613.419388,170.826329,166.619136,36.111071,2.047780,207.302158,0.000000
3.900000,4820323.441311,721.092092,181.305951,619.230199,175.259200,172.720571,37.823963,2.126712,213.465224,0.000000
4.000000,4820303.087267,723.390786,181.234767,624.915641,179.705157,178.878912,39.580806,2.206664,219.685769,0.000000
4.100000,4820282.485305,725.877588,181.227342,630.484593,184.162865,185.092960,41.381723,2.287623,225.962585,0.000000
4.200000,4820261.637687,728.545621,181.281998,635.945594,188.631091,191.361604,43.226824,2.369580,232.294550,0.000000
4.300000,4820240.546499,731.388347,181.397061,641.306845,193.108697,197.683818,45.116207,2.452526,238.680624,0.000000
4.400000,4820219.213668,734.399550,181.570862,646.576222,197.594637,204.058651,47.049960,2.536451,245.119849,0.000000
4.500000,4820197.640959,737.573328,181.801747,651.761277,202.087950,210.485231,49.028161,2.621347,251.611344,0.000000
4.600000,4820175.829982,740.904075,182.088084,656.869253,206.587760,216.962760,51.050878,2.707208,258.154303,0.000000
4.700000,4820153.782203,744.386468,182.428265,661.907087,211.093270,223.490509,53.118171,2.794027,264.747988,0.000000
4.800000,4820131.498942,748.015459,182.820711,666.881423,215.603758,230.067815,55.230095,2.881797,271.391732,0.000000
4.900000,4820108.981383,751.786258,183.263879,671.798616,220.118575,236.694083,57.386693,2.970513,278.084932,0.000000
5.000000,4820086.230579,755.694325,183.756260,676.664745,224.637139,243.368775,59.588008,3.060170,284.827045,0.000000
5.100000,4820063.247452,759.735359,184.296383,681.485623,229.158933,250.091416,61.834072,3.150763,291.617592,0.000000
5.200000,4820040.032804,763.905284,184.882818,686.266802,233.683503,256.861584,64.124916,3.242288,298.456145,0.000000
5.300000,4820016.587320,768.200242,185.514179,691.013586,238.210453,263.678913,66.460565,3.334742,305.342337,0.000000
5.400000,4819992.911570,772.616584,186.189118,695.731036,242.739441,270.543088,68.841041,3.428123,312.275846,0.000000
5.500000,4819969.006014,777.150855,186.906335,700.423985,247.270180,277.453841,71.266363,3.522426,319.256405,0.000000
5.600000,4819944.871009,781.799794,187.664572,705.097042,251.802431,284.410953,73.736547,3.617652,326.283791,0.000000
5.700000,4819920.506810,786.560316,188.462615,709.754603,256.336003,291.414250,76.251607,3.713797,333.357828,0.000000
5.800000,4819895.913575,791.429510,189.299296,714.400858,260.870749,298.463597,78.811555,3.810860,340.478381,0.000000
5.900000,4819871.091369,796.404630,190.173489,719.039800,265.406566,305.558903,81.416402,3.908841,347.645356,0.000000
6.000000,4819846.040165,801.483084,191.084112,723.675236,269.943389,312.700114,84.066159,4.007740,354.858701,0.000000
6.100000,4819842.185136,785.491853,191.783314,728.302938,274.481172,319.887196,86.760835,4.107556,362.118379,4.000000
6.200000,4819838.961060,769.280156,192.025202,732.885287,279.019663,327.119906,89.500440,4.208286,369.424148,4.000000
6.300000,4819835.708711,753.496702,191.863342,737.380564,283.558193,334.397587,92.284976,4.309925,376.775340,4.000000
6.400000,4819832.428594,738.130417,191.346236,741.752943,288.095714,341.719196,95.114439,4.412461,384.170905,4.000000
6.500000,4819829.121302,723.170414,190.517503,745.971866,292.630858,349.083363,97.988814,4.515881,391.609458,4.000000
6.600000,4819825.787498,708.606005,189.416355,750.011480,297.161990,356.488438,100.908068,4.620167,399.089331,4.000000
6.700000,4819822.427910,694.426703,188.078017,753.850124,301.687256,363.932537,103.872154,4.725300,406.608623,4.000000
6.800000,4819819.043316,680.622230,186.534116,757.469876,306.204623,371.413579,106.881002,4.831258,414.165231,4.000000
6.900000,4819815.634537,667.182519,184.813022,760.856139,310.711917,378.929323,109.934525,4.938019,421.756891,4.000000
7.000000,4819812.202431,654.097716,182.940170,763.997264,315.206855,386.477398,113.032612,5.045556,429.381210,4.000000
7.100000,4819808.747882,641.358183,180.938339,766.884220,319.687074,394.055331,116.175128,5.153843,437.035688,4.000000
7.200000,4819805.271797,628.954499,178.827914,769.510292,324.150156,401.660571,119.361917,5.262853,444.717749,4.000000
7.300000,4819801.775100,616.877458,176.627118,771.870806,328.593652,409.290511,122.592796,5.372559,452.424759,4.000000
7.400000,4819798.258724,605.118073,174.352221,773.962889,333.015098,416.942507,125.867559,5.482930,460.154047,4.000000
7.500000,4819794.723610,593.667569,172.017733,775.785245,337.412036,424.613892,129.185977,5.593938,467.902922,4.000000
7.600000,4819791.170704,582.517386,169.636577,777.337964,341.782023,432.301998,132.547795,5.705553,475.668684,4.000000
7.700000,4819787.600949,571.659176,167.220243,778.622342,346.122651,440.004158,135.952733,5.817746,483.448644,4.000000
7.800000,4819784.015286,561.084801,164.778934,779.640721,350.431553,447.717728,139.400490,5.930487,491.240129,4.000000
7.900000,4819780.414650,550.786327,162.321686,780.396349,354.706413,455.440089,142.890741,6.043746,499.040494,4.000000
8.000000,4819776.799967,540.756028,159.856491,780.893252,358.944973,463.168660,146.423136,6.157493,506.847131,4.000000
8.100000,4819773.172154,530.986375,157.390399,781.136121,363.145045,470.900901,149.997306,6.271699,514.657475,4.000000
8.200000,4819769.532115,521.470039,154.929611,781.130210,367.304507,478.634322,153.612860,6.386335,522.469012,4.000000
8.300000,4819765.880741,512.199885,152.479565,780.881244,371.421317,486.366489,157.269385,6.501372,530.279282,4.000000
8.400000,4819762.218910,503.168968,150.045014,780.395339,375.493511,494.095025,160.966450,6.616783,538.085884,4.000000
8.500000,4819758.547482,494.370530,147.630097,779.678930,379.519205,501.817616,164.703602,6.732538,545.886481,4.000000
8.600000,4819754.867301,485.797997,145.238397,778.738706,383.496603,509.532011,168.480374,6.848610,553.678799,4.000000
8.700000,4819751.179196,477.444972,142.873006,777.581554,387.423991,517.236030,172.296279,6.964973,561.460636,4.000000
8.800000,4819747.483975,469.305236,140.536567,776.214508,391.299743,524.927558,176.150813,7.081600,569.229857,4.000000
8.900000,4819743.782429,461.372741,138.231329,774.644706,395.122320,532.604554,180.043457,7.198465,576.984397,4.000000
9.000000,4819740.075332,453.641606,135.959182,772.879348,398.890267,540.265043,183.973679,7.315543,584.722266,4.000000
9.100000,4819736.363436,446.106114,133.721701,770.925663,402.602220,547.907127,187.940929,7.432809,592.441543,4.000000
9.200000,4819732.647477,438.760710,131.520174,768.790879,406.256896,555.528976,191.944649,7.550239,600.140380,4.000000
9.300000,4819728.928170,431.599993,129.355638,766.482194,409.853100,563.128833,195.984264,7.667809,607.817003,4.000000
9.400000,4819725.206212,424.618713,127.228903,764.006758,413.389717,570.705010,200.059191,7.785497,615.469707,4.000000
9.500000,4819721.482278,417.811773,125.140581,761.371646,416.865716,578.255892,204.168833,7.903280,623.096861,4.000000
9.600000,4819717.757029,411.174215,123.091104,758.583848,420.280147,585.779933,208.312587,8.021137,630.696902,4.000000
9.700000,4819714.031102,404.701228,121.080747,755.650247,423.632137,593.275655,212.489839,8.139045,638.268338,4.000000
9.800000,4819710.305119,398.388133,119.109647,752.577613,426.920889,600.741647,216.699966,8.256986,645.809744,4.000000
9.900000,4819706.579681,392.230389,117.177817,749.372587,430.145683,608.176565,220.942339,8.374938,653.319763,4.000000
10.000000,4819702.855371,386.223583,115.285163,746.041677,433.305869,615.579132,225.216322,8.492883,660.797103,4.000000
10.100000,4819699.132757,380.363428,113.431496,742.591245,436.400870,622.948132,229.521271,8.610802,668.240537,4.000000
10.200000,4819695.412384,374.645764,111.616545,739.027505,439.430175,630.282412,233.856539,8.728676,675.648901,4.000000
10.300000,4819691.694785,369.066546,109.839966,735.356520,442.393341,637.580881,238.221473,8.846488,683.021091,4.000000
10.400000,4819687.980471,363.621851,108.101355,731.584192,445.289988,644.842505,242.615417,8.964221,690.356066,4.000000
10.500000,4819684.269939,358.307866,106.400252,727.716267,448.119797,652.066310,247.037711,9.081859,697.652839,4.000000
10.600000,4819680.563669,353.120889,104.736153,723.758326,450.882511,659.251377,251.487691,9.199385,704.910482,4.000000
10.700000,4819676.862124,348.057326,103.108514,719.715789,453.577929,666.396842,255.964692,9.316783,712.128123,4.000000
10.800000,4819673.165753,343.113688,101.516760,715.593915,456.205903,673.501892,260.468048,9.434040,719.304942,4.000000
10.900000,4819669.474987,338.286586,99.960289,711.397798,458.766342,680.565768,264.997090,9.551140,726.440170,4.000000
11.000000,4819665.790245,333.572730,98.438474,707.132371,461.259203,687.587759,269.551148,9.668070,733.533090,4.000000
11.100000,4819662.111928,328.968927,96.950674,702.802408,463.684491,694.567202,274.129555,9.784816,740.583032,4.000000
11.200000,4819658.440425,324.472075,95.496231,698.412520,466.042261,701.503480,278.731642,9.901365,747.589374,4.000000
11.300000,4819654.776110,320.079164,94.074481,693.967167,468.332610,708.396024,283.356740,10.017705,754.551539,4.000000
11.400000,4819651.119342,315.787272,92.684748,689.470650,470.555679,715.244304,288.004182,10.133823,761.468994,4.000000
11.500000,4819647.470470,311.593561,91.326355,684.927119,472.711648,722.047835,292.673304,10.249708,768.341248,4.000000
11.600000,4819643.829827,307.495277,89.998621,680.340575,474.800737,728.806171,297.363442,10.365350,775.167850,4.000000
11.700000,4819640.197735,303.489747,88.700868,675.714872,476.823202,735.518905,302.073935,10.480736,781.948389,4.000000
11.800000,4819636.574502,299.574374,87.432417,671.053721,478.779336,742.185668,306.804125,10.595857,788.682493,4.000000
11.900000,4819632.960426,295.746638,86.192593,666.360692,480.669464,748.806127,311.553358,10.710702,795.369825,4.000000
12.000000,4819629.355793,292.004094,84.980728,661.639218,482.493941,755.379982,316.320980,10.825262,802.010083,4.000000
12.100000,4819625.760876,288.344368,83.796160,656.892598,484.253156,761.906969,321.106345,10.939528,808.602999,4.000000
12.200000,4819622.175939,284.765154,82.638231,652.124000,485.947522,768.386854,325.908808,11.053492,815.148337,4.000000
12.300000,4819618.601234,281.264215,81.506297,647.336466,487.577481,774.819435,330.727729,11.167143,821.645894,4.000000
12.400000,4819615.037003,277.839379,80.399718,642.532913,489.143500,781.204538,335.562473,11.280475,828.095493,4.000000
